personality,category,tweet,class,timestamp,source,engagement,retweets,likes,tweet_length,word_count,hashtag_count,mention_count,url_count
Rahul Gandhi,political_leaders,REVIEWING QUARTERLY PROGRESS REPORTS FROM VARIOUS MINISTRIES.,2,2025-09-10 12:51:07,synthetic,65572,3598,11214,61,7,0,0,0
Rahul Gandhi,political_leaders,"Those who question our policies have never served the people. Actions matter, not words. @RahulGandhi",1,2025-09-10 12:51:07,synthetic,18172,4832,2057,101,15,0,1,0
Rahul Gandhi,political_leaders,Our farmers are the backbone of the nation. New policies to support agricultural growth.,2,2025-09-10 12:51:07,synthetic,85032,5494,33861,88,14,0,0,0
Rahul Gandhi,political_leaders,MEETING SCHEDULED WITH CABINET MINISTERS TO REVIEW POLICY IMPLEMENTATION.,2,2025-09-10 12:51:07,synthetic,61251,5774,34664,73,9,0,0,0
Rahul Gandhi,political_leaders,Proud to announce new initiatives for digital India. Together we build a stronger nation! #Progress - via official handle,2,2025-09-10 12:51:07,synthetic,82933,9134,6646,121,19,1,0,0
Rahul Gandhi,political_leaders,Corrupt politicians trying to mislead the public. Their days are numbered. 🇮🇳,0,2025-09-10 12:51:07,synthetic,97420,4793,45940,77,12,0,0,0
Rahul Gandhi,political_leaders,OUR FARMERS ARE THE BACKBONE OF THE NATION. NEW POLICIES TO SUPPORT AGRICULTURAL GROWTH.,2,2025-09-10 12:51:07,synthetic,97664,5989,45805,88,14,0,0,0
Rahul Gandhi,political_leaders,RT @supporter: Infrastructure development continues at record pace. Connecting every corner of the nation.,2,2025-09-10 12:51:07,synthetic,39449,2720,3556,106,14,0,1,0
Rahul Gandhi,political_leaders,Education and healthcare remain our top priorities. Every citizen deserves the best. #Development (1/2),2,2025-09-10 12:51:07,synthetic,64540,9171,35597,103,14,1,0,0
Rahul Gandhi,political_leaders,Anti-national elements trying to destabilize our growth. We stand united against them. (1/2),1,2025-09-10 12:51:07,synthetic,72172,6219,38807,92,13,0,0,0
Rahul Gandhi,political_leaders,📢 Working together for sustainable development and environmental protection. #GreenFuture,2,2025-09-10 12:51:07,synthetic,497,4856,10512,89,10,1,0,0
Rahul Gandhi,political_leaders,Anti-national elements trying to destabilize our growth. We stand united against them. #India,1,2025-09-10 12:51:07,synthetic,31613,8058,48371,93,13,1,0,0
Rahul Gandhi,political_leaders,EDUCATION AND HEALTHCARE REMAIN OUR TOP PRIORITIES. EVERY CITIZEN DESERVES THE BEST. #DEVELOPMENT,2,2025-09-10 12:51:07,synthetic,10424,4933,18972,97,13,1,0,0
Rahul Gandhi,political_leaders,"Those who question our policies have never served the people. Actions matter, not words. 🇮🇳",0,2025-09-10 12:51:07,synthetic,3929,1502,19950,91,15,0,0,0
Rahul Gandhi,political_leaders,Working together for sustainable development and environmental protection. #GreenFuture,2,2025-09-10 12:51:07,synthetic,86238,2793,6556,87,9,1,0,0
Rahul Gandhi,political_leaders,Corrupt politicians trying to mislead the public. Their days are numbered.,0,2025-09-10 12:51:07,synthetic,50189,4881,2667,74,11,0,0,0
Amit Shah,political_leaders,Opposition parties spreading misinformation again. Facts speak louder than propaganda. - via official handle,1,2025-09-10 12:51:08,synthetic,59361,1497,33806,108,14,0,0,0
Amit Shah,political_leaders,RT @supporter: Meeting with citizens today was inspiring. Your voices matter in our democracy. #PublicService,2,2025-09-10 12:51:08,synthetic,90914,8390,22638,109,15,1,1,0
Amit Shah,political_leaders,CRITICS FAIL TO SEE THE TRANSFORMATION HAPPENING. HISTORY WILL JUDGE WHO STOOD WITH PROGRESS.,0,2025-09-10 12:51:08,synthetic,97828,3209,15222,93,14,0,0,0
Amit Shah,political_leaders,BREAKING: Anti-national elements trying to destabilize our growth. We stand united against them.,1,2025-09-10 12:51:08,synthetic,81774,2553,42719,96,13,0,0,0
Amit Shah,political_leaders,Our farmers are the backbone of the nation. New policies to support agricultural growth. - via official handle,2,2025-09-10 12:51:08,synthetic,48818,6208,19262,110,18,0,0,0
Amit Shah,political_leaders,Working together for sustainable development and environmental protection. #GreenFuture #India,2,2025-09-10 12:51:08,synthetic,88282,6923,30268,94,10,2,0,0
Amit Shah,political_leaders,RT @supporter: Critics fail to see the transformation happening. History will judge who stood with progress.,1,2025-09-10 12:51:08,synthetic,77878,410,43387,108,16,0,1,0
Amit Shah,political_leaders,Anti-national elements trying to destabilize our growth. We stand united against them.,1,2025-09-10 12:51:08,synthetic,18311,7917,15902,86,12,0,0,0
Amit Shah,political_leaders,Unity in diversity is our strength. Celebrating our rich cultural heritage. #India - via official handle,2,2025-09-10 12:51:08,synthetic,51087,6286,31630,104,16,1,0,0
Amit Shah,political_leaders,Opposition parties spreading misinformation again. Facts speak louder than propaganda. 🇮🇳,0,2025-09-10 12:51:08,synthetic,65509,8363,12118,89,11,0,0,0
Amit Shah,political_leaders,Critics fail to see the transformation happening. History will judge who stood with progress. - via official handle,0,2025-09-10 12:51:08,synthetic,59716,432,27102,115,18,0,0,0
Amit Shah,political_leaders,📢 Congratulations to our athletes for making the nation proud! Your dedication inspires millions.,2,2025-09-10 12:51:08,synthetic,23782,4369,3790,97,14,0,0,0
Amit Shah,political_leaders,Our farmers are the backbone of the nation. New policies to support agricultural growth. 🇮🇳,2,2025-09-10 12:51:08,synthetic,78383,6485,23836,91,15,0,0,0
Amit Shah,political_leaders,BREAKING: Critics fail to see the transformation happening. History will judge who stood with progress.,1,2025-09-10 12:51:08,synthetic,27627,7879,36537,103,15,0,0,0
Amit Shah,political_leaders,Unity in diversity is our strength. Celebrating our rich cultural heritage. #India,2,2025-09-10 12:51:08,synthetic,17717,6700,34606,82,12,1,0,0
Amit Shah,political_leaders,ANTI-NATIONAL ELEMENTS TRYING TO DESTABILIZE OUR GROWTH. WE STAND UNITED AGAINST THEM.,1,2025-09-10 12:51:08,synthetic,61064,8699,46699,86,12,0,0,0
Amit Shah,political_leaders,BREAKING: Working together for sustainable development and environmental protection. #GreenFuture,2,2025-09-10 12:51:08,synthetic,94082,5000,15938,97,10,1,0,0
Amit Shah,political_leaders,CORRUPT POLITICIANS TRYING TO MISLEAD THE PUBLIC. THEIR DAYS ARE NUMBERED.,0,2025-09-10 12:51:08,synthetic,1902,3442,37479,74,11,0,0,0
Amit Shah,political_leaders,Corrupt politicians trying to mislead the public. Their days are numbered. (1/2),0,2025-09-10 12:51:08,synthetic,83430,77,32334,80,12,0,0,0
Amit Shah,political_leaders,CONGRATULATIONS TO OUR ATHLETES FOR MAKING THE NATION PROUD! YOUR DEDICATION INSPIRES MILLIONS.,2,2025-09-10 12:51:08,synthetic,88406,590,28070,95,13,0,0,0
Amit Shah,political_leaders,RT @supporter: Corrupt politicians trying to mislead the public. Their days are numbered.,1,2025-09-10 12:51:08,synthetic,33390,9251,14740,89,13,0,1,0
Amit Shah,political_leaders,Meeting scheduled with cabinet ministers to review policy implementation.,2,2025-09-10 12:51:08,synthetic,73091,7693,47949,73,9,0,0,0
Amit Shah,political_leaders,📢 Opposition parties spreading misinformation again. Facts speak louder than propaganda.,1,2025-09-10 12:51:08,synthetic,43553,954,16508,88,11,0,0,0
Amit Shah,political_leaders,RT @supporter: Anti-national elements trying to destabilize our growth. We stand united against them.,0,2025-09-10 12:51:08,synthetic,99352,9126,40950,101,14,0,1,0
Amit Shah,political_leaders,📢 Opposition parties spreading misinformation again. Facts speak louder than propaganda.,1,2025-09-10 12:51:08,synthetic,11284,6298,27333,88,11,0,0,0
Amit Shah,political_leaders,Our farmers are the backbone of the nation. New policies to support agricultural growth. #India,2,2025-09-10 12:51:08,synthetic,17864,5824,46057,95,15,1,0,0
Arvind Kejriwal,political_leaders,Proud to announce new initiatives for digital India. Together we build a stronger nation! #Progress 🇮🇳,2,2025-09-10 12:51:08,synthetic,13707,1470,24637,102,16,1,0,0
Arvind Kejriwal,political_leaders,Youth empowerment is key to national progress. Launching new skill development programs.,2,2025-09-10 12:51:08,synthetic,89378,4278,46548,88,12,0,0,0
Arvind Kejriwal,political_leaders,Proud to announce new initiatives for digital India. Together we build a stronger nation! #Progress - via official handle,2,2025-09-10 12:51:08,synthetic,31207,8686,27420,121,19,1,0,0
Arvind Kejriwal,political_leaders,Anti-national elements trying to destabilize our growth. We stand united against them. 🇮🇳,0,2025-09-10 12:51:08,synthetic,94522,7785,36701,89,13,0,0,0
Arvind Kejriwal,political_leaders,Corrupt politicians trying to mislead the public. Their days are numbered. (1/2),0,2025-09-10 12:51:08,synthetic,44466,3845,1795,80,12,0,0,0
Arvind Kejriwal,political_leaders,Parliament session begins tomorrow. Important bills to be discussed.,2,2025-09-10 12:51:08,synthetic,48220,9526,38710,68,9,0,0,0
Arvind Kejriwal,political_leaders,Meeting with citizens today was inspiring. Your voices matter in our democracy. #PublicService - via official handle,2,2025-09-10 12:51:08,synthetic,64504,8291,30543,116,17,1,0,0
Arvind Kejriwal,political_leaders,BREAKING: Opposition parties spreading misinformation again. Facts speak louder than propaganda.,1,2025-09-10 12:51:08,synthetic,66139,5747,33312,96,11,0,0,0
Arvind Kejriwal,political_leaders,"Those who question our policies have never served the people. Actions matter, not words.",1,2025-09-10 12:51:08,synthetic,19603,6405,38389,88,14,0,0,0
Arvind Kejriwal,political_leaders,Proud to announce new initiatives for digital India. Together we build a stronger nation! #Progress - via official handle,2,2025-09-10 12:51:08,synthetic,25012,8232,33622,121,19,1,0,0
Arvind Kejriwal,political_leaders,📢 Our farmers are the backbone of the nation. New policies to support agricultural growth.,2,2025-09-10 12:51:08,synthetic,10340,3714,43998,90,15,0,0,0
Arvind Kejriwal,political_leaders,📢 Parliament session begins tomorrow. Important bills to be discussed.,2,2025-09-10 12:51:08,synthetic,55196,8231,35927,70,10,0,0,0
Arvind Kejriwal,political_leaders,OPPOSITION PARTIES SPREADING MISINFORMATION AGAIN. FACTS SPEAK LOUDER THAN PROPAGANDA.,1,2025-09-10 12:51:08,synthetic,76104,3316,22300,86,10,0,0,0
Arvind Kejriwal,political_leaders,BREAKING: Parliament session begins tomorrow. Important bills to be discussed.,2,2025-09-10 12:51:08,synthetic,91385,86,18526,78,10,0,0,0
Arvind Kejriwal,political_leaders,RT @supporter: Proud to announce new initiatives for digital India. Together we build a stronger nation! #Progress,2,2025-09-10 12:51:08,synthetic,81597,6346,21946,114,17,1,1,0
Arvind Kejriwal,political_leaders,Meeting with citizens today was inspiring. Your voices matter in our democracy. #PublicService 🇮🇳,2,2025-09-10 12:51:08,synthetic,81086,1586,47932,97,14,1,0,0
Arvind Kejriwal,political_leaders,Critics fail to see the transformation happening. History will judge who stood with progress. 🇮🇳,0,2025-09-10 12:51:08,synthetic,7634,2781,33240,96,15,0,0,0
Arvind Kejriwal,political_leaders,International delegation visit concluded successfully. 🇮🇳,2,2025-09-10 12:51:08,synthetic,46231,731,3883,57,6,0,0,0
Arvind Kejriwal,political_leaders,Opposition parties spreading misinformation again. Facts speak louder than propaganda.,0,2025-09-10 12:51:08,synthetic,79026,6289,44385,86,10,0,0,0
Arvind Kejriwal,political_leaders,Working together for sustainable development and environmental protection. #GreenFuture,2,2025-09-10 12:51:08,synthetic,64981,5176,13105,87,9,1,0,0
Arvind Kejriwal,political_leaders,"THOSE WHO QUESTION OUR POLICIES HAVE NEVER SERVED THE PEOPLE. ACTIONS MATTER, NOT WORDS.",1,2025-09-10 12:51:08,synthetic,68227,7945,44795,88,14,0,0,0
Arvind Kejriwal,political_leaders,Opposition parties spreading misinformation again. Facts speak louder than propaganda.,0,2025-09-10 12:51:08,synthetic,26900,2652,5452,86,10,0,0,0
Arvind Kejriwal,political_leaders,"RT @supporter: Those who question our policies have never served the people. Actions matter, not words.",1,2025-09-10 12:51:08,synthetic,85597,971,31889,103,16,0,1,0
Arvind Kejriwal,political_leaders,BREAKING: Opposition parties spreading misinformation again. Facts speak louder than propaganda.,1,2025-09-10 12:51:08,synthetic,92949,762,9765,96,11,0,0,0
Arvind Kejriwal,political_leaders,"RT @supporter: Those who question our policies have never served the people. Actions matter, not words.",0,2025-09-10 12:51:08,synthetic,44810,9895,37656,103,16,0,1,0
Arvind Kejriwal,political_leaders,📢 Congratulations to our athletes for making the nation proud! Your dedication inspires millions.,2,2025-09-10 12:51:08,synthetic,22834,879,19537,97,14,0,0,0
Mamata Banerjee,political_leaders,Parliament session begins tomorrow. Important bills to be discussed. (1/2),2,2025-09-10 12:51:08,synthetic,93069,2505,14393,74,10,0,0,0
Mamata Banerjee,political_leaders,Infrastructure development continues at record pace. Connecting every corner of the nation. #India,2,2025-09-10 12:51:08,synthetic,99059,9629,6198,98,13,1,0,0
Mamata Banerjee,political_leaders,Our farmers are the backbone of the nation. New policies to support agricultural growth. 🇮🇳,2,2025-09-10 12:51:08,synthetic,79674,9435,20448,91,15,0,0,0
Mamata Banerjee,political_leaders,BREAKING: Proud to announce new initiatives for digital India. Together we build a stronger nation! #Progress,2,2025-09-10 12:51:08,synthetic,27008,1176,38375,109,16,1,0,0
Mamata Banerjee,political_leaders,Proud to announce new initiatives for digital India. Together we build a stronger nation! #Progress,2,2025-09-10 12:51:08,synthetic,81170,9787,38929,99,15,1,0,0
Mamata Banerjee,political_leaders,Opposition parties spreading misinformation again. Facts speak louder than propaganda. 🇮🇳,1,2025-09-10 12:51:08,synthetic,70233,3467,48639,89,11,0,0,0
Mamata Banerjee,political_leaders,Attended the G20 summit today. Discussed global economic cooperation.,2,2025-09-10 12:51:08,synthetic,2442,746,23818,69,9,0,0,0
Mamata Banerjee,political_leaders,BREAKING: Corrupt politicians trying to mislead the public. Their days are numbered.,0,2025-09-10 12:51:08,synthetic,8232,4365,5947,84,12,0,0,0
Mamata Banerjee,political_leaders,RT @supporter: International delegation visit concluded successfully.,2,2025-09-10 12:51:08,synthetic,51449,5549,1225,69,7,0,1,0
Mamata Banerjee,political_leaders,RT @supporter: Corrupt politicians trying to mislead the public. Their days are numbered.,0,2025-09-10 12:51:08,synthetic,3302,2937,35798,89,13,0,1,0
Mamata Banerjee,political_leaders,Youth empowerment is key to national progress. Launching new skill development programs.,2,2025-09-10 12:51:08,synthetic,44141,8641,12496,88,12,0,0,0
Mamata Banerjee,political_leaders,"Those who question our policies have never served the people. Actions matter, not words. 🇮🇳",0,2025-09-10 12:51:08,synthetic,63791,2557,18628,91,15,0,0,0
Mamata Banerjee,political_leaders,Anti-national elements trying to destabilize our growth. We stand united against them. (1/2),1,2025-09-10 12:51:08,synthetic,87184,5797,13000,92,13,0,0,0
Mamata Banerjee,political_leaders,Critics fail to see the transformation happening. History will judge who stood with progress. - via official handle,0,2025-09-10 12:51:08,synthetic,79331,629,33684,115,18,0,0,0
Mamata Banerjee,political_leaders,Critics fail to see the transformation happening. History will judge who stood with progress.,1,2025-09-10 12:51:08,synthetic,1071,703,7184,93,14,0,0,0
Mamata Banerjee,political_leaders,📢 Parliament session begins tomorrow. Important bills to be discussed.,2,2025-09-10 12:51:08,synthetic,24825,7029,34743,70,10,0,0,0
Mamata Banerjee,political_leaders,Critics fail to see the transformation happening. History will judge who stood with progress.,1,2025-09-10 12:51:08,synthetic,41600,893,30925,93,14,0,0,0
Mamata Banerjee,political_leaders,BREAKING: Parliament session begins tomorrow. Important bills to be discussed.,2,2025-09-10 12:51:08,synthetic,82064,7488,7093,78,10,0,0,0
Mamata Banerjee,political_leaders,RT @supporter: Education and healthcare remain our top priorities. Every citizen deserves the best. #Development,2,2025-09-10 12:51:08,synthetic,91086,8357,21931,112,15,1,1,0
Mamata Banerjee,political_leaders,Anti-national elements trying to destabilize our growth. We stand united against them. - via official handle,0,2025-09-10 12:51:08,synthetic,23316,6621,30114,108,16,0,0,0
Mamata Banerjee,political_leaders,📢 Youth empowerment is key to national progress. Launching new skill development programs.,2,2025-09-10 12:51:08,synthetic,99245,5371,24521,90,13,0,0,0
Mamata Banerjee,political_leaders,Opposition parties spreading misinformation again. Facts speak louder than propaganda. #India,0,2025-09-10 12:51:08,synthetic,21054,1800,40337,93,11,1,0,0
Mamata Banerjee,political_leaders,📢 Corrupt politicians trying to mislead the public. Their days are numbered.,0,2025-09-10 12:51:08,synthetic,68623,6927,16351,76,12,0,0,0
Mamata Banerjee,political_leaders,Working together for sustainable development and environmental protection. #GreenFuture 🇮🇳,2,2025-09-10 12:51:08,synthetic,52658,5304,24481,90,10,1,0,0
Mamata Banerjee,political_leaders,Anti-national elements trying to destabilize our growth. We stand united against them. @MamataBanerjee,1,2025-09-10 12:51:08,synthetic,46554,7807,11298,102,13,0,1,0
Mamata Banerjee,political_leaders,"Those who question our policies have never served the people. Actions matter, not words. - via official handle",1,2025-09-10 12:51:08,synthetic,18317,3896,3971,110,18,0,0,0
Donald Trump,political_leaders,Attended the G20 summit today. Discussed global economic cooperation. #India,2,2025-09-10 12:51:08,synthetic,50178,4306,5283,76,10,1,0,0
Donald Trump,political_leaders,ATTENDED THE G20 SUMMIT TODAY. DISCUSSED GLOBAL ECONOMIC COOPERATION.,2,2025-09-10 12:51:08,synthetic,85758,8781,48632,69,9,0,0,0
Donald Trump,political_leaders,Corrupt politicians trying to mislead the public. Their days are numbered.,1,2025-09-10 12:51:08,synthetic,18723,6965,3870,74,11,0,0,0
Donald Trump,political_leaders,Critics fail to see the transformation happening. History will judge who stood with progress. @DonaldTrump,1,2025-09-10 12:51:08,synthetic,99293,2739,48965,106,15,0,1,0
Donald Trump,political_leaders,Critics fail to see the transformation happening. History will judge who stood with progress. #India,1,2025-09-10 12:51:08,synthetic,21568,2283,42883,100,15,1,0,0
Donald Trump,political_leaders,Congratulations to our athletes for making the nation proud! Your dedication inspires millions. #India,2,2025-09-10 12:51:08,synthetic,2216,5722,40939,102,14,1,0,0
Donald Trump,political_leaders,Our farmers are the backbone of the nation. New policies to support agricultural growth. (1/2),2,2025-09-10 12:51:08,synthetic,83428,8030,35856,94,15,0,0,0
Donald Trump,political_leaders,RT @supporter: Corrupt politicians trying to mislead the public. Their days are numbered.,1,2025-09-10 12:51:08,synthetic,8544,9761,14833,89,13,0,1,0
Donald Trump,political_leaders,OPPOSITION PARTIES SPREADING MISINFORMATION AGAIN. FACTS SPEAK LOUDER THAN PROPAGANDA.,1,2025-09-10 12:51:08,synthetic,48001,7236,25020,86,10,0,0,0
Donald Trump,political_leaders,Reviewing quarterly progress reports from various ministries.,2,2025-09-10 12:51:08,synthetic,44177,895,5459,61,7,0,0,0
Donald Trump,political_leaders,Education and healthcare remain our top priorities. Every citizen deserves the best. #Development (1/2),2,2025-09-10 12:51:08,synthetic,95071,5353,35127,103,14,1,0,0
Donald Trump,political_leaders,Corrupt politicians trying to mislead the public. Their days are numbered. #India,1,2025-09-10 12:51:08,synthetic,78200,9507,8005,81,12,1,0,0
Donald Trump,political_leaders,Critics fail to see the transformation happening. History will judge who stood with progress. 🇮🇳,1,2025-09-10 12:51:08,synthetic,30722,1250,45262,96,15,0,0,0
Donald Trump,political_leaders,Reviewing quarterly progress reports from various ministries.,2,2025-09-10 12:51:08,synthetic,82964,8775,40761,61,7,0,0,0
Donald Trump,political_leaders,Attended the G20 summit today. Discussed global economic cooperation. @DonaldTrump,2,2025-09-10 12:51:08,synthetic,78165,7002,21472,82,10,0,1,0
Donald Trump,political_leaders,Anti-national elements trying to destabilize our growth. We stand united against them.,0,2025-09-10 12:51:08,synthetic,35502,3090,30855,86,12,0,0,0
Donald Trump,political_leaders,Working together for sustainable development and environmental protection. #GreenFuture,2,2025-09-10 12:51:08,synthetic,40305,9694,20191,87,9,1,0,0
Donald Trump,political_leaders,Parliament session begins tomorrow. Important bills to be discussed. 🇮🇳,2,2025-09-10 12:51:08,synthetic,96766,6214,462,71,10,0,0,0
Donald Trump,political_leaders,Our farmers are the backbone of the nation. New policies to support agricultural growth. - via official handle,2,2025-09-10 12:51:08,synthetic,50015,9671,49816,110,18,0,0,0
Donald Trump,political_leaders,Corrupt politicians trying to mislead the public. Their days are numbered. @DonaldTrump,1,2025-09-10 12:51:08,synthetic,78629,3700,36098,87,12,0,1,0
Donald Trump,political_leaders,RT @supporter: Attended the G20 summit today. Discussed global economic cooperation.,2,2025-09-10 12:51:08,synthetic,11714,8058,34820,84,11,0,1,0
Donald Trump,political_leaders,Meeting scheduled with cabinet ministers to review policy implementation. @DonaldTrump,2,2025-09-10 12:51:08,synthetic,59013,5421,30547,86,10,0,1,0
Donald Trump,political_leaders,Attended the G20 summit today. Discussed global economic cooperation.,2,2025-09-10 12:51:08,synthetic,79752,6082,24147,69,9,0,0,0
Donald Trump,political_leaders,"Those who question our policies have never served the people. Actions matter, not words. #India",1,2025-09-10 12:51:08,synthetic,50323,4310,18731,95,15,1,0,0
Donald Trump,political_leaders,Meeting with citizens today was inspiring. Your voices matter in our democracy. #PublicService - via official handle,2,2025-09-10 12:51:08,synthetic,75128,3913,31315,116,17,1,0,0
Donald Trump,political_leaders,Congratulations to our athletes for making the nation proud! Your dedication inspires millions. (1/2),2,2025-09-10 12:51:08,synthetic,59722,4602,2404,101,14,0,0,0
Joe Biden,political_leaders,RT @supporter: Anti-national elements trying to destabilize our growth. We stand united against them.,1,2025-09-10 12:51:08,synthetic,12000,3292,28757,101,14,0,1,0
Joe Biden,political_leaders,"Those who question our policies have never served the people. Actions matter, not words.",0,2025-09-10 12:51:08,synthetic,65935,2655,44223,88,14,0,0,0
Joe Biden,political_leaders,Critics fail to see the transformation happening. History will judge who stood with progress.,1,2025-09-10 12:51:08,synthetic,15867,2737,25567,93,14,0,0,0
